page,eng,twi
21,abhor,kyi (kokõko)
21,abhor,taṅ
21,abhor,kyi anim
21,abhorrence,okyi
21,abhorrence,otãṅ
21,abhorrent,nea wokyi
21,abhorrent,akyide
21,abhorrent,wohyira(no) ànó pà
21,abide,trã
21,abide,te
21,abide,gyina mu
21,abide,kura mu
21,abide,di akyiri
21,ability,tumi
21,ability,nyansã
21,ability,nimdee
21,ability,tipa
21,ability,adwempa
21,abject,huhu
21,abject,ohuhuni
21,abject,funu
21,abject,mfra
21,abjection,ahuhusem
21,abjection,akoabaṅ
21,abjection,obĕre a woabĕre obi ase
21,abjure,dentaṅkãpa
21,abjure,gyae
21,abjure,gyau
21,abjure,wae
21,able,tumi
21,able,nsa sõ (so)
21,able,wo ahõgdeṅ
21,able,hõ ye deṅ
21,able,nim (yo)
21,ableness,tumi
21,ableness,ahõgdeṅ
21,ablution,odwira
21,ablution,ahõdwira
21,ablution,aguare
21,ablution,hohoro
21,abnegate,saṅ
21,abnegate,pa akyiri
21,abnegation,ahõpakyi
21,abnegation,òpó
21,abnegation,odaṅtoho
21,abnegation,ahõtuso
21,aboard,ehyeṅ mu
21,abode,trãbere
21,abode,trãbea
21,abode,F. tĕnãbew
21,abode,ofi
21,abode,odaṅ
21,abode,otũ
21,abode,dabere
21,abode,dabe
21,abolish,gu
21,abolish,tue (mmãra)
21,abolish,mã ..ye kwa
21,abolition,ogu
21,abolition,obãra
21,abolition,(mmãra)tue
21,abominable,tantaṅ
21,abominable,(nea) ehõ ye taṅ
21,abominable,ehõ ye ṅwini
21,abominable,wokyi
22,abominate,kyi
22,abominate,taṅ
22,abomination,atantanne
22,abomination,akyide
22,abomination,abusudé
22,aboriginal,tetede
22,aboriginal,adekaṅ
22,abortion,opoṅ
22,abort,poṅ
22,abound,do
22,abound,dōsō
22,abound,boro so
22,abound,buso
22,abound,ka
22,abound,tā
22,about,ehō
22,about,beṅ
22,about,ebeye(se)
22,about,bābi (beabi)
22,about,mmeammea
22,about,mmā or afā ṅhĩnā
22,about,twa hō hyia
22,about,bo hō dantabaṅ
22,above,(e)so
22,above,osoro
22,above,atifĩ
22,above,(e)ti so
22,above,akyiri
22,above,kyeṅ
22,above,boro
22,above,ebram so
22,above,mmramso
22,above,ne titiri no
22,abridge,twa so
22,abridge,tiā
22,abridge,kyereu tiā mu
22,abreast,sā so
22,abreast,odi mè ntente só
22,abreast,nyèresó
22,abridgment,(ne)tiām
22,abridgment,tiātwa
22,abridgment,opōnohyem
22,abroad,adi
22,abroad,adiwo
22,abroad,wuram
22,abroad,amanṅone
22,to go abroad,ko amaṅ bi so
22,to go abroad,dom
22,abrupt,nea entoa so
22,abruption,toa a entoa
22,abruption,ntetemu
22,abruption,mpapaemu
22,abruption,ṅwamu
22,abruption,ṅwatamu
22,abruptly,mpofirim
22,abruptly,mpaase
22,to do s.th.,patu (ye brb.)
22,abscess,akisikuru
22,abscess,Ak. pompo
22,abscond,hinta
22,abscond,twẽ nehō
22,abscond,gǔaṅ
22,absence,"in his-, bere a onni ho"
22,absence,n'akyi
22,absence,"of mind, anisòtèré"
22,absent,"to be-, nni ho"
22,absent,fi adi (perf.)
22,absolute,nea obi ntwa hō baṅ
22,absolute,eso kwaṅ ṅko
22,he has power,owo tumi a obi nsi no kwaṅ
22,he has power,oṅhye mmāra bi ase
22,absolution,bemmu
22,absolution,bone fafiri (kā)
22,absolutism,tumidi a obi nni mu ano
22,absolutism,anidaṅ nni mu
22,absolutism,sé mã eṅsā
22,absolve,bu bem
22,absolve,de.. firi
22,absolve,de.. kye
22,absolve,yi.. fim
22,absolve,pass. di bem
22,absorb,mene
22,absorb,memmene
22,absorb,pass. mēm
22,absorb,wo
22,absorb,do mpumpuṅase
22,absorption,ofëu
22,absorption,mēm
22,absorption,nea eṅōm or etwẽ brb. mu nsu
22,abstain,tua nehō
22,abstain,bu ani gu so
22,abstain,yi nehō fi hō
22,abstain from food,bua da
22,abstainer,ghōtuafo
22,abstainer,odetuafo
22,abstainer,anidahoni
22,abstainer,nsā- or tātuafo
22,abstemious,"abstinent, a. he is-"
22,abstemious,watua nehō (nsā n.a.)
22,abstemious,n'ani da ho
22,abstinence,ahōtua
22,abstinence,anidaho
22,abstract,yi mu
22,abstruse,nea emu nteu
22,abstruse,emu ye kusū
22,absurd,nea enni ase
22,absurd,adwene nni mu
23,absurdity,asɛm a enni ase
23,absurdity,ɛmfata
23,absurdity,nkwaseasɛm
23,abundance,mmoroso
23,abundance,mmuso
23,abundance,ofó
23,abundant,to be -
23,abundant,dōsō
23,abundant,bu so
23,abundant,fofó
23,abuse,sɛe
23,abuse,hura hō
23,abuse,nyãfĩ
23,abuse,yau
23,abuse,oyau
23,abuse,Ak. oye
23,abuse,n. ḅrb. hō adeye bone
23,abut,bo ohye
23,abut,to fuhye
23,abutment,ohye
23,abutment,ofuhye
23,abyss,obuṅ kūroṅkūroṅ
23,abyss,okū
23,accede (to),kã hō
23,accede (to),pene
23,accelerate,ye ntem
23,accent,enẽ so-mã
23,accent,nsiase
23,accent,kasagyirae
23,accept,gye
23,accept,pene
23,acceptable,to be -
23,acceptable,fata se wogye
23,acceptable,so ani
23,acceptance,ogye
23,acceptance,ogye nè anisọ
23,access,okwaṅ
23,access,hō kwaṅ
23,access,anim-
23,access,ṅkyeṅ -
23,accessory,nea ɛbata hō
23,accessory,ɛkã hō
23,accident,asǐane
23,accident,apatiriatom
23,accident,biribi (aye no)
23,acclamation,obagye
23,acclamation,ayeyi huro
23,acclamation,osébo
23,acclimate,sɛ bābi agye obi or nehō akokwa bābi
23,accommodate,mã efata
23,accommodate,mã esɛ so pe
23,accompany,gya
23,accompany,bọ anaṅ
23,accompany,kã hō
23,accompany,nè obi kọ
23,accompany,nam
23,accompany,"on the way, gyã.. kwaṅ"
23,accomplice,hōkãfo
23,accomplice,boafo
23,accomplice,mpraprafo
23,accomplish,wie
23,accomplish,ye
23,accord,mã e-nè no kã
23,accord,efata so
23,accord,esɛ so
23,accord,biakōye
23,accord,anodi
23,accordance,mfataso
23,according,so
23,according,sɛ
23,according,senea .. te no
23,according,tesɛ
23,account,bu
23,account,bu akōntã
23,account,bu ano
23,account,kã asɛm
23,account,akōntã
23,account,akōntābu
23,account,it is of no -
23,account,enyé biribi
23,account,on what -
23,account,edeṅ ntia?
23,account,dekōde a enti..
23,account,on that -
23,account,eno nti(a)
23,account,full -
23,account,asɛm mũ ṅhǐnā
23,Accra,see Akra
23,accumulate,bọ kū
23,accumulate,boa ano fōre
23,accumulate,"riches, hye (ade) da so"
23,accuracy,pepeye
23,accuracy,nsǐye
23,accurate,fefɛfe
23,accurate,pe
23,accurate,pepe
23,accurate,pepēpe
23,accurate,nsǐm'
23,accurate,nsǐye mu
23,accurse,dome
23,accurse,bọ dua
23,accurse,hye nseɛ
23,accurse,hye domamfiri
23,accusation,mmotosó
23,accusation,ntwátoso
23,accusation,osusukã
23,accuse,bọ ṅkūro
23,accuse,yi nteṅ
23,accuse,tō .. sō
23,accuse,tōtō ano
23,accuse,falsely
23,accuse,ṅkūrobọ
23,accuse,atenyi
23,accuse,anotōtō
23,accuser,ṅkūrobọfo
23,accuser,ofatwafo
23,accuser,onotōtōfo
24,"accustomed, to be",tā yẹ
24,"accustomed, to be",ka
24,"accustomed, to be",brb. akokwa obi
24,"accustomed, to be",ka (obi họ)
24,"accustomed, to be",obi ahũ
24,"accustomed, to be",nim
24,"accustomed, to be",anyã brb. nyẹe
24,"accustomed, to be",(obi) tā kọ họ
24,"ache, v.",beṅ
24,"ache, v.",pae
24,"ache, v.",tutu
24,"ache, v.",yẹya
24,"ache, v.",kadwẹ̄dwẹ̄
24,"ache, n.",eyau
24,"ache, n.",tooth-ọkékau
24,"ache, n.",Ak. okaka
24,"ache, n.",head-tirim keka
24,"ache, n.",atibeṅ
24,"ache, n.",atipae
24,"ache, n.","aching in the bones, atútù"
24,"ache, n.",Ak. atútuo
24,"achieve, v.",yẹ
24,"achieve, v.",nyã
24,"achieve, v.",wie
24,"acid, a.",nyĩnyãnyĩnyã
24,"acid, a.",yereyereu
24,"acid, a.",yèrèdẹdẹ
24,"acid, v.",nyàṅ
24,"acid, v.",nyane
24,"acid, v.",kau
24,"acid, v.",pae
24,"acid, v.",nsã no apae
24,"acid, v.",akau
24,"acknowledge, v.",hũ
24,"acknowledge, v.",bu
24,"acknowledge, v.",pene
24,"acknowledge, v.",gye tom'
24,"acknowledge, v.",paem' kã
24,"acknowledge, v.",da ase
24,"acknowledge, v.",gye so
24,"acknowledgment, n.",okã
24,"acknowledgment, n.",aseda
24,"acquaint, v.",mã..hũ
24,"acquaint, v.",kyerẹ
24,"acquaint, v.",kã..kyerẹ
24,"acquaint, v.",yi..kyerẹ
24,"acquaint, v.",mã asõ te
24,"acquaint, v.",yi asitiu
24,"acquaintance, n.",ománni
24,"acquaintance, n.",oyọṅkõ
24,"acquiesce, v.",pene(so)
24,"acquiesce, v.",mã okwaṅ
24,"acquire, v.",nyã
24,"acquire, v.",nsa kã
24,"acquisition, n.",adenyã
24,"acquit, v.",bu..bem
24,"acquit, v.",gyã
24,"acquit, v.",yi
24,"acrid, a.",hyerehyere
24,"acrimony, n.",anioṅye deṅye
24,"acropolis, n.",abaṅ(kese) a ẹwẹṅ kũro or asase bi
24,"across, ad. prp.",nea wọde abea (mu)
24,"across, v.",twa
24,"across, v.",twam'
24,"act, v.","yẹ (ade, -biribi)"
24,"act, v.",di..
24,"act, v.",bọ bāra
24,"act, v.",bu bāra
24,"act, v.",bu maṅ
24,"act, v.",sũa obi
24,"act, n.",adeye
24,"act, n.",nneyẹe
24,"act, n.","premeditated-, oboaye"
24,"action, n.",adeye
24,"action, n.",ọkõ
24,"action, n.",kọpeṅ
24,"active, a.",kàmkam
24,"active, a.",wéwé
24,"activity, n.",nsĩyẹ
24,"activity, n.",anẽm
24,"activity, n.",ahọghareyo
24,"actor, n.",nea oyẹ brb.
24,"actor, n.",odeyefo
24,"actor, n.",gũasodeyefo
24,"actor, n.",asafo(anim) dwontofo
24,"actually, ad.",ampa
24,"actually, ad.",nokwarem
24,"actually, ad.",ewom' se
24,"actually, ad.",wommoa se
24,"actuate, v.",pĩa
24,"actuate, v.",kã
24,"acute, a.",denneṅ
24,"acute, a.",nea emu yẹ deṅ
24,"adapt, v.",(se) brb. fata brb.
24,"adapt, v.",brb. nẹ brb. bọ so
24,"adapt, v.",nea ẹ-nẹ no kọ so
24,"add, v.",bọ so
24,"add, v.",kã họ
24,"add, v.",to so
24,"add, v.",to mu
24,"add, v.",gũ so
24,"add, v.",gũ mu
24,"add, v.",si so
24,"add, v.",hye mu
24,"add, v.",tĩa
24,"add, v.",pũa so
24,"addict, v.",de..mã
24,"addition, n.",ṅkekãhẹ
24,"addition, n.",mfakãhọ
24,"addition, n.",(in buying) ntoso
24,"addition, n.",mpũa-
24,"addition, n.",ṅṅu-
25,additional,nea (wọḍe) kã hō
25,additional,ẹbata hō
25,address,kã (asẹm) kyerẹ
25,address,kyere sẹ wọmfa ṅkọmã obi
25,address,kọ (obi) anim kobisa
25,address,mãnã
25,address,siesie
25,address,okwaṅkyerẹ
25,address,ọkã
25,address,adesẹre
25,address,abãrabu (manners)
25,adequate,nea esẹ
25,adequate,efata
25,adequate,esọ
25,adequate,"edu (hō, so)"
25,adhere,fãm hō
25,adhere,kã hō
25,adhere,kã bọm
25,adhere,bata hō
25,adhere,kura mu
25,adhere,bọ hō
25,adherent,nea efãm hō
25,adherent,ẹkã hō
25,adhesion,ẹhō-fãm
25,adjacent,nea ẹbẹṅ hō
25,adjacent,ẹḍa hō
25,adject,de.. kã hō
25,adjective,diṅ mu kyerẹkyere asẹm
25,adjoin,de.. kã hō
25,adjoin,de.. bọm
25,adjoin,kọḍọm
25,adjoin,bata
25,adjoin,bẹṅ hō
25,adjoin,bọ hye
25,adjourn,bọọr de.. to hō
25,adjourn,tu hyeḍa
25,adjudge,bu ntẹṅ
25,adjudge,daṅ.. mã
25,adjure,kã ntam gu so
25,adjure,mã ntam
25,adjure,yi ntam mã
25,adjure,kã
25,adjust,yẹ.. akwaṅso-akwaṅso
25,adjust,siesie.. pẹ
25,adjust,pata
25,adjust,sesẹu
25,adjust,tẹẹ
25,adjust,atẹẹ pẹ
25,adjust,wọ ano-wọ ano
25,adjustment,nsiesiei
25,adjustment,ṅhyehyẹe
25,adjustment,nsesẹe
25,adjutant,(asrāfo dibea)
25,adjutant,osafo-heṅkūmã
25,adjutant,osafohemma
25,adjutor,ọboáfọ
25,adjutor,ọsọmfo
25,administer,de.. mã
25,administer,sọm
25,administration,(ẹhō) adeyẹ
25,administration,adwumaye
25,administration,ọmaṅsofẹ(fo)
25,administrator,nea wọḍe(awun-nyade) ahyẹ ne nsa ase
25,administrator,ọmaṅpanyiṅ
25,admirable,nea ẹyẹ ṅwọṅwã
25,admirable,ahōbō
25,admirable,krabẹfwẹ
25,admiral,akōhyeṅ mu sáhene
25,admiral,akōhyeṅ so safohempanyiṅ
25,admiration,aṅwọṅwãḍe
25,admiration,aṅwọṅwãsẹm
25,admiration,ahōḍwiride
25,admire,kamfo
25,admire,"they - it, eyẹ wọṅ ṅwọṅwã"
25,admit,mã ọkwaṅ
25,admit,mã ṅkyeṅ kwaṅ
25,admit,gye.. tom
25,admit,de.. hyẹm
25,admittance,akwaṅmã
25,admittance,"I found no -, mannyã (mu) kwaṅ"
25,admix,de.. fra mu
25,admixture,ade bi mu mfrafrae
25,admonish,tu.. fo
25,admonish,kasa kyerẹ
25,admonisher,ọfotufo
25,admonisher,ọkasakyerẹfo
25,admonisher,kokọbófo
25,admonition,afotu
25,admonition,ọkasakyerẹ
25,admonition,kokọbó
25,ado,gyegyēgye
25,ado,hōye
25,ado,kitikitiye
25,adolescence,mmẹrantebere
25,adolescence,mmabābere
25,adopt,fa.. yẹ oba
25,adopt,fa.. to (n'abu-sũafo) mu
25,adopt,fa.. hyẹ (ne mma) mu
25,adoption,abagye
25,adoption,(ogye a wọgye obi ba de yẹ wọṅ aṅkasa ba)
25,adore,fwẹ.. naṅase
25,adore,koto
25,adore,sọre
25,adore,koto sọre
26,adoration,okotosore
26,adorn,hyehye
26,adorn,keka(hõ)
26,adorn,wura
26,adornment,gude
26,adornment,ahyehyeḍe
26,adown,famfam
26,adown,ase pẽ
26,adroitly,nyansãm
26,adroitness,kradoye
26,adulation,nnyigye
26,adulation,nnefedeḍe
26,adult,opanyiṅ
26,adulterate,bo aguamãṅ
26,adulterate,fa oyere
26,adulterate,wia
26,adulterate,sesã
26,adulterate,sakra
26,adulterate,fra mu
26,adulterer,oyerefafo
26,adulterer,owareseefo
26,adulterer,mmãpefo
26,adulteress,obãguamãṅ
26,adulteress,aguamãṅ
26,adulteress,owareseefo
26,adultery,aguamãmmo
26,adultery,awaresee
26,adultery,agobone
26,adultery,ayefare
26,adultery,Ak. ayefare
26,adust,nea ahye dweṅ
26,adust,ado kõ
26,advance,mã
26,advance,ko anim
26,advance,ko so
26,advance,tu ntẽṅ
26,advance-guard,twafo
26,advance-guard,abennegyefo
26,advance-guard,abennefo
26,advance,ṅkoso
26,advance,adefiri
26,advance,mekofiri ho ade
26,advantage,mfaso
26,advent,ba
26,advent,ṅkyeṅ-ba
26,advent,kwaṅfwe bere
26,adventure,asiane
26,adventurer,obadueduefo
26,adverb,ṅkasae mu kyerefo
26,adversary,otamfo
26,adversary,osidifo
26,adversity,ohĩa
26,adversity,amane
26,adversity,amanehunu
26,adversity,mmusu
26,adversity,abeu
26,advert,dweṅ
26,advert,susu hõ
26,advert,bo diṅ
26,advertise,mãnã
26,advertise,kãra
26,advertise,yi obi asitiu
26,advertise,mã hũ
26,advice,agyina(tu)
26,advice,efo
26,advice,afotu
26,advice,nyansãhye
26,advice,kasanyansã
26,advise,tu agyina
26,advise,tu fo
26,advise,hye nyansã
26,advise,kasa kyere
26,advise,susu hõ
26,adviser,ofotufo
26,adviser,ogyinatufó
26,adviser,okasakyerefo
26,adviser,nyansãkyerefo
26,advocate,odimãfo
26,advocate,okyigyinafo
26,advocate,okasagyefo
26,adze,òsósọ
26,adze,aseṅ
26,adze,akǔmá
26,aeronaut,wimhyèṅmuni
26,aerostation,wimtuko
26,aerostation,mframahyeṅtu
26,afar,akyirikyiri
26,afar,nohọnohọ
26,afar,nsreṅso
26,affair,adwuma
26,affair,ḍwuma
26,affair,asem
26,affair,nneyee
26,affect,ye (obi brb.)
26,affect,kã
26,affect,nyaṅ
26,affect,pe
26,affect,ye kyere
26,affectation,oḍotraso
26,affectation,nyâtwom
26,affection,odo
26,affection,ope
26,affection,adge
26,affection,mmoḍeṅbo
26,affiance,gye aware
26,affiance,mã aware
27,affidavit,ntam
27,affidavit,ntaṅkã
27,affiliate,fa ye oba
27,affiliate,gye to
27,affiliate,feku hi mu
27,affiliation,abagye
27,affiliation,adoption
27,affirm,foa..nsemmoa
27,affirm,kã se ete sa
27,affirmation,nsemmoafoa
27,affirmation,asem soduasi
27,affirmation,gyinaesi
27,affirmation,asemso gyinae
27,affix,de..bo mu
27,affix,de..fãm hō
27,afflict,hau
27,afflict,de..to amane mu
27,afflict,ho were
27,afflicted,hū amane
27,affliction,amanehunu
27,affliction,ohau
27,affliction,awereho
27,affliction,efóná (F.)
27,affliction,eyéa (As.)
27,affliction,ahōdwiri
27,affluence,mmoroso
27,affluence,tāmudi
27,afford,mã
27,afford,yi mã
27,affray,ntokwa
27,affray,okō
27,affright,ehū
27,affright,ahūde
27,affright,ahūyide
27,affront,twa mpoa
27,affront,ye mpī
27,afloat,ten nsu ani
27,afoot,nam (ne) nan mu
27,afore,anim
27,afore,kaṅ
27,afore,ansã na
27,afraid,suro
27,afraid,ye hū
27,afraid,kōmatu
27,afraid,bom
27,afraid,yi..hū
27,afresh,foforo
27,afresh,bio (biem)
27,Africa,Abibirim
27,African,Obibini
27,African,A-fo
27,after,akyi
27,after,so
27,after,di akyiri
27,after,se..te no
27,after,(ne) ṅhīnā akyi (no)
27,after,eno akyi (no)
27,after,nna bi akyi
27,after,mmere bi-
27,afternoon,betwabere
27,afternoon,mfaretubere
27,afternoon,aṅwummere
27,afterwards,akyiri(no)
27,afterwards,eno akyi
27,afterwards,eno ansã na
27,again,bio
27,again,saṅkyiri bio
27,again,saṅ(ye)
27,again,tī mu
27,against,tia
27,against,hye
27,against,gu..so
27,against,hyia
27,against,n. hō
27,against,so
27,against,ntenteṅso
27,age,mfe a (obi) di
27,age,mfedi
27,age,ikwakorābere
27,age,mmerewa-
27,agent,yemāfo
27,agent,dimāfo
27,agent,oyefo
27,aggress,toa
27,aggress,tua
27,aggress,peatutu
27,aggress,twa mpoa
27,aggressor,otuafo
27,aggressor,otutupefo
27,aggressor,okotwěběrefo
27,aggrieve,hau
27,aggrieve,ho were
27,aggrieve,yi abufu
27,agileness,ahōghare
27,agileness,hareye
27,agileness,ntemye
27,agitate,woso
27,agitate,poso
27,agitate,fono mu
27,agitate,hwanyaṅ
27,agitate,tane ani
27,agitate,huru bo
27,ago,akye
27,ago,dabidabi
27,ago,dedadeda
27,ago,enyé nne
27,ago,akye kakra
27,ago,afenia
27,Agona,Agonã
27,Agona,Nsabã
27,Agona,Agonãni
27,Agona,-fo
27,agonise,gyam
27,agonise,pere
27,agony,ogyam
27,agony,opére
27,agree,mã okwaṅ
27,agree,penue
27,agree,pe
27,agree,di ano
27,agree,ye adweṅkoro
27,agree,-nokoro
27,agree,kã bo
27,agree,bom'
27,agree,ye biakō
27,agree,fata
27,agree,di mmāra
27,agree,o-nè no kã = wokã
27,agree,o-nè me ṅkã = yeṅkã
27,agreeable,de
27,agreeable,deu
27,agreeable,fata
27,agreeable,se wopene
27,agreeable,ye..fe
27,agreeable,so..ani
28,agreeableness,oḍeụ
28,agreeableness,mfataso
28,agreeableness,aniso
28,agreeably,pe
28,agreeably,pepe
28,agreement,anodi
28,agreement,bodi
28,agreement,apã
28,agriculture,aḍou
28,agriculture,kuaye
28,agriculture,akúá
28,aground,ase
28,aground,pò ase
28,ague,atiridii awo(w)a egu nnipa so
28,aid,gya
28,aid,boa
28,aid,di boa
28,aid,ye.. abia
28,ail,ye ya
28,ail,ye
28,aim,botae
28,aim,tirimbo
28,aimless,entu botae
28,aimless,ennigyinae
28,air,mframa
28,air,mfere
28,air,wim
28,air,ahuṅmu
28,airing,mfaregye
28,Akem,Akyém
28,Akraman,Okranni
28,Akuapem-man,Okuapenni
28,Akwamu,Akwam
28,alacrity,ahọohare
28,alarm,bo ẇi
28,alarm,bum
28,alarm,tu bo
28,alarm,yi hũ
28,alarm,ẇibo
28,alarm,bumbo
28,alarm,akọmatu
28,alarm,abotu
28,alarm,ahọpopo
28,albino,ofiri
28,album,mfonini hyehyebea
28,album,wurabea ṅhọma
28,alcohol,nsã (biara) mu ahọodeṅ
28,alcohol,hoṅhom (a ẹbọ)
28,alderman,omaṅ-panyiṅ
28,ale,bọrofo-ahai
28,alert,kàmkam
28,alert,ẇéẇé
28,algebra,akọntā a wọḍe (ṅhọma) ṅkyereụe na ebu
28,alias,anase
28,alias,diṅ (foforo) a ẹbata diṅ pa hō
28,alien,ohoho
28,alien,omamfrani
28,alight,duru
28,alight,sĩāṅ
28,alight,si
28,alike,pe
28,alike,pe-
28,alike,pepẽpe
28,alike,sāara
28,aliment,aduaṅ
28,aliment,akọṅhăma
28,aliquot,akọntā bi a wọḍe kye-kye akọntā bi mu pepẽpe
29,alive,anikãṅ
29,alive,animono
29,all,ṅhĩnã
29,all,ra
29,all,na
29,Allah,ṅkrãmofo
29,Allah,Nyame
29,Allah,diṅ
29,allege,kã
29,allege,kura mu
29,allege,foaṅemmoa
29,allegory,ntotohõ
29,allegory,sem
29,alley,okwamferene
29,alley,akwámma
29,alley,okwaṅ a nnua sisi n'afãnu
29,alliance,apãm
29,alliance,nṅoboadi
29,alliance,hĩafwẽdi
29,alliance,mmóadi
29,alliance,hõfãm
29,alliance,biakõye
29,alliance,nokorodi
29,alliance,ṅkãbom
29,alligate,kyekye
29,alligate,bom
29,alligator,odéṅkyem
29,alligator,asuboa
29,allot,kye
29,allot,mã
29,allotment,kyefã
29,allow,mã okwaṅ
29,allow,pene
29,allowance,okwaṅ
29,allowance,okwaṅmã
29,monthly-allowance,asranne
29,alloy,mfraframu a wode fra sika n a mu gu
29,allude,de
29,allude,kae
29,allure,gyigye
29,allure,dãdã
29,ally,kyekye bom
29,ally,apãm mu
29,ally,gye adom
29,ally,dommoafo
29,ally,yoṅkõboafo
29,almanac,nnabu
29,almanac,nnakaṅ ṅhõma
29,almighty,nneema ṅhĩnã so
29,almighty,tumfo
29,almighty,twẽaduampoṅ
29,almost,aka kūmā
29,almost,kokūmā
29,almost,aka ketewa
29,almost,ekame'aye
29,alms,ayeyede
29,alms,mmoborohunude
29,alms-house,mmoborohunufi
29,alms-house,ahĩafodaṅ
29,alms-house,odõmfi
29,aloes,áloë
29,aloft,kõṅkõroṅ
